scholarships_title,organization,summary,fund_type,scholarships_link,find_supervisor_link,country
Graduate Research scholarships,Western Sydney University,"Western Sydney University supports higher degree research candidates with a range of scholarship opportunities. Research scholarships are released periodically, and each type of scholarship has specific application dates, eligibility criteria and conditions.",University Scholarships,https://www.westernsydney.edu.au/schools/grs/scholarships/main_round_scholarships,https://www.westernsydney.edu.au/future/study/how-to-apply/higher-degree-research-candidates/find-a-supervisor,Australia
Western Sydney University  Project Scholarships,Western Sydney University,Western Sydney University offers a range of project-based scholarships to support higher degree students in undertaking their research. Scholarships are available to support both current and new postgraduate research candidates,Project Scholarships,https://www.westernsydney.edu.au/schools/grs/scholarships/current_scholarships,https://www.westernsydney.edu.au/future/study/how-to-apply/higher-degree-research-candidates/find-a-supervisor,Australia
Graduate Research Scholarships,The University of Melbourne,The Melbourne Research Scholarship and Research Training Program (RTP) Scholarship are offered to high-achieving international and domestic students who are enrolling in a graduate research degree at the University of Melbourne.,University Scholarships,https://scholarships.unimelb.edu.au/awards/graduate-research-scholarships,https://research.unimelb.edu.au/study/supervisors,Australia
The University of Melbourne  Project Scholarships,The University of Melbourne,The University of Melbourne offers a range of project-based scholarships to support higher degree students in undertaking their research. Scholarships are available to support both current and new postgraduate research candidates,Project Scholarships,"https://findanexpert.unimelb.edu.au/searchresults?category=opportunity&pageNumber=1&pageSize=20&q=&sorting=mostRecent&faculty%5B%5D=Faculty%20of%20Medicine,%20Dentistry%20and%20Health%20Sciences",https://research.unimelb.edu.au/study/supervisors,Australia
Graduate Research Scholarships,University of New South Wales,"UNSW  offer scholarships funded by the Australian Government, UNSW and our faculties and schools, and a range of industry and international partners. Use the  UNSW filter to search for a scholarship in your research area",University Scholarships,https://www.unsw.edu.au/research/hdr/scholarships,https://www.unsw.edu.au/research/hdr/find-a-supervisor#search=&sort=relevance&startRank=1&numRanks=12&componentId=36c3802e-58bd-404b-90f6-07d44daf6b35,Australia
Postgraduate Research Projects,University of New South Wales,"UNSW has  a range of projects available in the area of energy conversion and utilisation. If you are interested to do Master by Research or Doctor of Philosophy(Ph.D) in PARTCAT group, please get in touch.",Project Scholarships,https://www.pcrg.unsw.edu.au/postgraduate-research-projects,,Australia
Graduate Research Scholarships,Deakin University,"Deakin University supports higher degree research candidates with a range of scholarship opportunities. Research scholarships are released periodically, and each type of scholarship has specific application dates, eligibility criteria and conditions.",University Scholarships,https://www.deakin.edu.au/study/fees-and-scholarships/scholarships/find-a-scholarship,https://www.deakin.edu.au/research/research-degrees-and-PhD/find-a-research-supervisor,Australia
Research degree projects,Deakin University,"Deakin offers a diverse range of research projects across our seven research institutes. With projects spanning climate change, artificial intelligence, globalisation, disease, nutrition, mental health and much more, you'll have the opportunity to solve the world's most complex and important issues",Project Scholarships,https://www.deakin.edu.au/research/research-degrees-and-PhD/research-degree-projects,,Australia
Graduate Research Scholarships,Curtin University,"Various scholarships may be available to provide you with financial assistance during your higher degree by research. They can provide a living stipend or a tuition fee offset, or a combination of both",University Scholarships,https://www.curtin.edu.au/study/scholarships/applying-for-a-scholarship/hdr-scholarships-awards-and-grants/,https://research.curtin.edu.au/our-researchers/,Australia
Research degree projects,Curtin University,"Various scholarships may be available to provide you with financial assistance during your higher degree by research. They can provide a living stipend or a tuition fee offset, or a combination of both",Project Scholarships,https://anzscpb.curtin.edu.au/research-projects-available/,,Australia
Flinders University Research Scholarships (FURS),Flinders University,Flinders University Research Scholarships are awarded to postgraduate students on the basis of academic merit and research potential. The scholarships enable suitably qualified applicants to proceed to a full-time Masters degree by research or Doctorate by research.,University Scholarships,https://www.flinders.edu.au/scholarships/flinders-university-research-scholarships-furs1,https://www.flinders.edu.au/study/apply/apply-research-degree/find-research-supervisor,Australia
Graduate Research Scholarships,Macquarie University,Macquarie University provides a range of generous scholarships to support exceptional graduate researchers. All scholarships are considered and awarded through a competitive process,University Scholarships,https://www.mq.edu.au/research/phd-and-research-degrees/how-to-apply/scholarship-opportunities,https://www.mq.edu.au/research/phd-and-research-degrees/how-to-apply/find-a-supervisor,Australia
Graduate Research Scholarships,Queensland University of Technology,"Queensland University of Technology supports higher degree research candidates with a range of scholarship opportunities. Research scholarships are released periodically, and each type of scholarship has specific application dates, eligibility criteria and conditions.",University Scholarships,https://www.qut.edu.au/study/fees-and-scholarships/scholarships/browse?study-level_key=PGR&student-type_key=Any&study-area-broad_key=Any&eligibility-citizenship_key=Any&eligibility-criteria_key=Any&query=,https://www.qut.edu.au/research/our-experts,Australia
Graduate Research Scholarships,The University of Western Australia,"Scholarships support the position of The University of Western Australia as one of Australia’s leading research-intensive universities, the premier research institution in WA and the university of choice for a large number of higher degree by research students.",University Scholarships,https://www.uwa.edu.au/study/research/research-scholarships,"https://ipoint.uwa.edu.au/app/answers/detail/a_id/3453/~/finding-a-phd-or-mphil-supervisor#:~:text=Search%20the%20UWA%20Research%20Repository,your%20identified%20potential%20academic%20supervisor.",Australia
